Device,Status
tuk-f6f-str-4b, FAILED, Active=N/A Standby=N/A
tuk-f6f-v2s-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-v2s-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-xit-1a, FAILED, Active=disable Standby=disable
tuk-f6f-xit-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-xit-2a, FAILED, Active=disable Standby=disable
tuk-f6f-xit-2b, FAILED, Active=N/A Standby=N/A
tuk-f6f-xit-3a, FAILED, Active=N/A Standby=N/A
tuk-f6f-xit-3b, FAILED, Active=N/A Standby=N/A
tuk-f6f-xit-4a, FAILED, Active=N/A Standby=N/A
tuk-f6f-xit-4b, FAILED, Active=N/A Standby=N/A
tuk-f6f-xit-5a, FAILED, Active=disable Standby=disable
tuk-f6f-xit-5b, FAILED, Active=N/A Standby=N/A
tuk-f6m-spare-1, FAILED, Active=N/A Standby=N/A
tuk-f6m-spare-2, FAILED, Active=N/A Standby=N/A
tuk-f6x-cps-1a, PASS
tuk-f6x-cps-1b, FAILED, Active=N/A Standby=N/A
tuk-f6x-int-msgr-1a, FAILED, Active=disable Standby=disable
tuk-f6x-int-msgr-1b, FAILED, Active=N/A Standby=N/A
